"sample_name","organism","genotype","experiment","time_point_str","well_flask_ID","allele","time_point_num","condition"
"WT_TP2_hyc_H3_C5_G12_GS12","hyb","WT","LowN","1 h, low N","H3_C5_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_H3_C5_G12_GS12","hyb","WT","LowN","1 h, low N","H3_C5_G12","par",60,"WT_LowN_60"
"WT_TP3_hyc_H3_D5_G12_GS12","hyb","WT","LowN","16 h, low N","H3_D5_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_H3_D5_G12_GS12","hyb","WT","LowN","16 h, low N","H3_D5_G12","par",960,"WT_LowN_960"
"WT_TP1_hyc_H3_C5_G12_GS12","hyb","WT","LowN","0 h, YPD","H3_C5_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_H3_C5_G12_GS12","hyb","WT","LowN","0 h, YPD","H3_C5_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_H3_B6_G12_GS12","hyb","WT","LowN","1 h, low N","H3_B6_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_H3_B6_G12_GS12","hyb","WT","LowN","1 h, low N","H3_B6_G12","par",60,"WT_LowN_60"
"WT_TP2_hyc_H3_D5_G12_GS12","hyb","WT","LowN","1 h, low N","H3_D5_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_H3_D5_G12_GS12","hyb","WT","LowN","1 h, low N","H3_D5_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_H2_E6_G12_GS3","hyb","WT","LowN","0 h, YPD","H2_E6_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_H2_E6_G12_GS3","hyb","WT","LowN","0 h, YPD","H2_E6_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_H2_F6_G12_GS3","hyb","WT","LowN","0 h, YPD","H2_F6_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_H2_F6_G12_GS3","hyb","WT","LowN","0 h, YPD","H2_F6_G12","par",0,"WT_LowN_0"
"WT_TP3_hyc_H2_E6_G12_GS4","hyb","WT","LowN","16 h, low N","H2_E6_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_H2_E6_G12_GS4","hyb","WT","LowN","16 h, low N","H2_E6_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_H3_B6_G12_GS12","hyb","WT","LowN","16 h, low N","H3_B6_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_H3_B6_G12_GS12","hyb","WT","LowN","16 h, low N","H3_B6_G12","par",960,"WT_LowN_960"
"WT_TP2_hyc_H2_F6_G12_GS4","hyb","WT","LowN","1 h, low N","H2_F6_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_H2_F6_G12_GS4","hyb","WT","LowN","1 h, low N","H2_F6_G12","par",60,"WT_LowN_60"
"WT_TP3_hyc_H2_F6_G12_GS4","hyb","WT","LowN","16 h, low N","H2_F6_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_H2_F6_G12_GS4","hyb","WT","LowN","16 h, low N","H2_F6_G12","par",960,"WT_LowN_960"
"WT_TP1_hyc_H3_B6_G12_GS12","hyb","WT","LowN","0 h, YPD","H3_B6_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_H3_B6_G12_GS12","hyb","WT","LowN","0 h, YPD","H3_B6_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_H3_D5_G12_GS12","hyb","WT","LowN","0 h, YPD","H3_D5_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_H3_D5_G12_GS12","hyb","WT","LowN","0 h, YPD","H3_D5_G12","par",0,"WT_LowN_0"
"WT_TP3_hyc_H3_C5_G12_GS12","hyb","WT","LowN","16 h, low N","H3_C5_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_H3_C5_G12_GS12","hyb","WT","LowN","16 h, low N","H3_C5_G12","par",960,"WT_LowN_960"
"WT_TP2_hyc_H2_E6_G12_GS4","hyb","WT","LowN","1 h, low N","H2_E6_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_H2_E6_G12_GS4","hyb","WT","LowN","1 h, low N","H2_E6_G12","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_H9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_H3_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_H9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_H3_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_D9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D3_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_D9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D3_G12","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_F10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F4_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_F10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F4_WT2","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_E4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E4_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_E4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E4_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_G3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G3_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_G3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G3_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_F3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_F3_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_F3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_F3_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_D6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D6_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_D6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D6_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_A10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A4_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_A10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A4_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_F6_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_F6_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_F6_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_F6_WT2","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_C10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C4_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_C10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C4_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_E5_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E5_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_E5_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E5_WT2","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_B9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B3_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_B9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B3_G12","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_B12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B6_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_B12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B6_G12","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_D11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D5_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_D11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D5_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_F5_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_F5_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_F5_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_F5_WT2","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_F12_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F6_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_F12_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F6_WT2","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_A4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A4_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_A4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A4_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_F11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F5_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_F11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F5_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_A12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A6_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_A12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A6_G12","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_C11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C5_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_C11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C5_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_G4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G4_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_G4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G4_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_A6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A6_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_A6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A6_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_D10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D4_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_D10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D4_G12","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_D12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D6_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_D12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_D6_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_G5_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G5_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_G5_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G5_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_E6_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E6_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_E6_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E6_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_C5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C5_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_C5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C5_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_E9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E3_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_E9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E3_WT2","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_B5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B5_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_B5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B5_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_F4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_F4_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_F4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_F4_WT2","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_C12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C6_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_C12_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C6_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_D5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D5_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_D5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D5_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_D4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D4_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_D4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D4_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_B10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B4_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_B10_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B4_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_B6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B6_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_B6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B6_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_H4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_H4_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_H4_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_H4_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_C4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C4_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_C4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C4_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_F9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F3_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_F9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_F3_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_A11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A5_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_A11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A5_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_E3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E3_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_E3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_E3_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_C3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C3_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_C3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C3_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_B11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B5_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_B11_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_B5_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_B4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B4_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_B4_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B4_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_G6_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G6_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_G6_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_G6_WT2","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_C6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C6_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_C6_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_C6_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_D3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D3_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_D3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_D3_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_G9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G3_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_G9_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G3_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_G12_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G6_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_G12_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G6_WT2","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_H3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_H3_WT2","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_H3_WT2_GS2018","hyb","WT","LowN","0 h, YPD","WTs_H3_WT2","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_E12_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E6_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_E12_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E6_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_G10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G4_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_G10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G4_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_E10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E4_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_E10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E4_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_G11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G5_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_G11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_G5_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_H10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_H4_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_H10_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_H4_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_E11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E5_WT2","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_E11_WT2_GS2018","hyb","WT","LowN","1 h, low N","WT2_E5_WT2","par",60,"WT_LowN_60"
"WT_TP2_hyc_WTs_A9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A3_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_A9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_A3_G12","par",60,"WT_LowN_60"
"WT_TP1_hyc_WTs_A3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A3_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_A3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A3_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_A5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A5_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_A5_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_A5_G12","par",0,"WT_LowN_0"
"WT_TP1_hyc_WTs_B3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B3_G12","cer",0,"WT_LowN_0"
"WT_TP1_hyp_WTs_B3_G12_GS2018","hyb","WT","LowN","0 h, YPD","WTs_B3_G12","par",0,"WT_LowN_0"
"WT_TP2_hyc_WTs_C9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C3_G12","cer",60,"WT_LowN_60"
"WT_TP2_hyp_WTs_C9_G12_GS2018","hyb","WT","LowN","1 h, low N","G12_C3_G12","par",60,"WT_LowN_60"
"WT_TP3_hyc_WTs_G3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_G3_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_G3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_G3_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_D6_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D6_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_D6_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D6_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_E5_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E5_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_E5_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E5_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_E6_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E6_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_E6_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E6_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_D4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D4_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_D4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D4_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_C4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C4_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_C4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C4_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_E3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E3_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_E3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E3_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_C3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C3_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_C3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C3_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_D3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D3_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_D3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D3_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_H3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_H3_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_H3_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_H3_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_E4_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_E4_WT2","cer",960,"WT_LowN_960"
